SEX,FIRST NAME,NUMBER OF OCCURRENCES
GIRL,ALLY,1
GIRL,ALLYSON,7
GIRL,ALMA,5
GIRL,ALMA MIMI,1
GIRL,ALMA PEARL,1
GIRL,ALONDRA,13
GIRL,ALORA,1
GIRL,ALOUISE,1
GIRL,ALTAIR,1
GIRL,ALURA,1
GIRL,ALY,1
GIRL,ALYANA,1
GIRL,ALYANNA,1
GIRL,ALYCIA,1
GIRL,ALYSON,1
GIRL,ALYSSA,14
GIRL,ALYSSIA,1
GIRL,ALYSSON,1
GIRL,ALYVIA,1
GIRL,AMADA,1
GIRL,AMAIA,1
GIRL,AMAIYAH-ROSE,1
GIRL,AMAL,1
GIRL,AMALIA,3
GIRL,AMALYA,1
GIRL,AMANDA,6
GIRL,AMANI,3
GIRL,AMARA,6
GIRL,AMARI,4
GIRL,A'MARI,1
GIRL,AMARIS,1
GIRL,AMARISA,1
GIRL,AMARYAH,1
GIRL,AMARYLLIS,1
GIRL,AMAYA,4
GIRL,AMAYAH,2
GIRL,AMAZIAH,1
GIRL,AMBAR,1
GIRL,AMBER,1
GIRL,AMBRIE,1
GIRL,AMEERA,1
GIRL,AMEERAH,2
GIRL,AMELIA,52
GIRL,AMELIE,1
GIRL,AMERICA,2
GIRL,AMETHYST,2
GIRL,AMIA,3
GIRL,AMINA,6
GIRL,AMIRA,2
GIRL,AMIYAH,2
GIRL,AMIYAH-MAE,1
GIRL,AMNA,1
GIRL,AMOHA,1
GIRL,A'MORA,1
GIRL,AMPARO,1
GIRL,AMRAN,1
GIRL,AMREET,1
GIRL,AMY,8
GIRL,AMYRA,2
GIRL,ANA,9
GIRL,ANABELLA,3
GIRL,ANABIYA,1
GIRL,ANAEL,1
GIRL,ANAGHA,1
GIRL,ANAHI,5
GIRL,ANAIRA,2
GIRL,ANAIS,2
GIRL,ANAISE,1
GIRL,ANAISHA,2
GIRL,ANALAYA,1
GIRL,ANALEA,1
GIRL,ANALEAH,1
GIRL,ANALEE,2
GIRL,ANALEIGH,1
GIRL,ANALIA,3
GIRL,ANALISA,2
GIRL,ANALUCIA,2
GIRL,ANALY,1
GIRL,ANALYN,1
GIRL,ANALYSSA,1
GIRL,ANANYA,3
GIRL,ANARISSA,1
GIRL,ANARRI,1
GIRL,ANASTASIA,7
GIRL,ANASTASIE,1
GIRL,ANASTASSIA,1
GIRL,ANAY,1
GIRL,ANAYA,2
GIRL,ANAYAH,1
GIRL,ANAYANCI,1
GIRL,ANAYELI,1
GIRL,ANAYENSI,1
GIRL,ANAYII,1
GIRL,ANDALUCIA,1
